,content
583,"Flight is delayed by more than 9 hours and nobody is taking responsibility. Senior people are waiting on chairs in the airport exhausted and getting no assistance. Only a drink and a very bad sandwich was offered which is definitely outrageous. Instead of offering any decent sleeping solution, people have to lie on the floor. Just ridiculous!
"
584,"On 04 of sep I travelled in air India from Chennai to Goa welcoming the travellers was based on apearence rather not in Indian hospitality when took off from Chennai referesment was serviced to all. At the time of booking I made it non veg meal but what was served is very ridiculous​ it was a oil filled Bhaji were...
"
585,"It was a pleasant surprise this time when we flow from Mumbai To Goa. Its was red-eye flight at 2 Am in the morning. Everything was perfectly handled by the Airline. The Airline served a basic snack box, which contained a Vegetable Sandwich & packet of Real Juice.
The take off & landing was quite smooth , The Humidifier inside...
"
586,"I can't be relabeled with Air India's flight anymore; The flight schedule can change almost all the time. This is my second time in Air India, and aging they change my delay time from 2 hours to 20 Hours. When they sell the ticket, they give you a good deal and a great price, but once you bought the tickets,...
"
587,"My hard luggage was damaged during Handling operations and there were many holes and scratched.
When at the airport I complained, the ""lost and found"" desk assistance agreed that the holes dimensions were unacceptable (small parts can get lost by those holes) but Air India rejected my claim because the functionalities of the luggage were anyway guaranteed (my luggage is...
"
588,"It's hard to know where to start without being too much of a moaner.....positives. Legroom is good and all legs of the flights took off on time and landed successfully. However there are more negatives that outweigh these - cabins grubby, my area and TV screen had all left over food dried on it and I had to ask numerous...
"
589,"we some friends visited khajuraho 02/09/2017 to 04/09/2017 and choice travel by air india, very good airlines 'pride of india' ,crew staff is very co.op and helpful. food served by the airlines during travel is very tasty and hygienic.our all performance is very Excellent.
"
590,"I recently flew Air India between Delhi and Chennai. The departure was from T3's International area and the aircraft used was a 777-300 ER. The check-in and boarding were comfortable. IFE worked before departure and it was good to have access to it on a 2.30 hr flight. Legroom was excellent and so was the high tea served on the...
"
591,"Pranav had me at hello. That smile with warmth and filled with generosity. Handsome not just outside but inside too. He offered to have my luggage situated then offered to hang my coat. Nervous as in a hurried shuffle the secretary forgot my Vegan meal preference. I enquired from Pranav if there was any possibility and he checked and gladly...
"
592,"First of all the ground staffs are dumb. They didnt announce the flight delay. Whenever asked about flight status they kept blabbering ""We'll start boarding in 10 minutes"". On-Boards they served cold meal. And they concluded the flight announcing ""Hamari Kosish Rehti Hai Sarvottam Sewa Pradaan Karne Ki"".... I fail to understand what they mean by ""Sarvottam Seva""
"
593,"I tried Bengaluru Stockholm and return with the new dream liner and the aircraft is nice with reasonable leg space. Unfortunately there seems to be a few faults that are still not fixed, headlights, foot rests etc. Service and food is below average. Once during a seven- eight hours flight do they serve drinks from the trolley! Be aware if...
"
594,"This my 2nd time with Air India airlines best service I get
If like traveling with Air India will be best experience will be in your life
"
595,"I wish I would have not used Air India for my recent trip to India.I had paid extra money for seat with extra leg room, but those seats have a bad design and it is very uncomfortable to sit in them, let alone for 15 hours .The entertainment system is outdated and did not work most of the time.I could...
"
596,"I loved to Fly Air India 10 years ago from JFK to London. With those fond memories still intact, I thought I would try them again.
What a mistake! There were all kinds of issues with seats and the entertainment system not working. The plane was poorly maintained. Make you think about other parts of the plane.
The flight crew...
"
597,"Flying Air India was a very pleasant experience. The flight has a lot of legroom and I always love the leg rest which can be used for massage. The food was very good and the choices were good too. The crew was very friendly and assisted people with extra needs. Good collection of movies and shows on the entertainment system...
"
598,"I've read/ heard about horror stories on India Airlines. But I decided to try for the convenience of a direct flight. Flew this airline from ORD to Delhi and return. The check-in was complete chaos in India (no shock there) and ground staff was not accommodating or kind. However, the planes were the most obvious problem. Dirty, old, broken. Seat...
"
599,"I flew from Hyderabad to Bangalore on 09/09/2017 PNR JLHL6. I was skeptical about departure but to my surprise everything from departure to landing was so good I felt things are changing with our National Carrier. Keep it up AIR INDIA !!.
"
600,"Air india is pretty much comfortable flight to travel for any amount of distance!! It offers a luxurious service at reasonable prices !
"
601,"The flight was very comfortable as it was a Dreamliner. Food was good too. Crew was friendly. But it took off quite late and there was no proper announcement regarding the reason for delay and expected take off time.
"
602,"I have to say that there was some apprehension booking Air India and whether they would understand the requirements of being gluten free. We were served two meals on the flight. One was chicken with a tomato sauce and vegetables and the second consisted was some form of wrap with vegetables inside. Whilst the main part of the meal was...
"
603,"They use new airplaines, such as 787-8 or the Boing 777.... The staff are kind, but when you must travel more then 13 hours you need good entertainmente, and they do not have new filmes.. Most are BOLLYWOOD, and the TV séries they announce are not available... And finnaly the food is very bad.... And I love Indian food....
"
604,"I had to travel to Delhi in a hurry and booked myself on Air India. This time I decided to travel Business Class to and fro. I was suitably impressed with the food that is served in the Business Class. A lovely Cheese Omelet with added sides. Wow, the best breakfast I ever had in Air India.
"
605,"I thought the price was reasonable at £390 for a return ticket to Bangkok until almost everyone I spoke to in Thailand had paid the same money to fly with Emirates or similar much better quality airlines.
The aircraft was dirty on all four flights and so were the pillows that they provide which aren't much use anyway.
The food...
"
606,"We chose Air India for our trip between Bangkok & the UK as they offered a short connection time at Delhi and allowed us to use Birmingham Airport, which was convenient for us..
Flight AI 333 from Bangkok was scheduled to depart at 08:55 and arrive at 12:00, our connecting flight to Birmingham was schedule to depart at 13:05 giving...
"
607,"It is better to choose other airlines, I have given Air India so many chances, but every time the flight keeps on getting delayed, they don't even inform about it, a lot of people have this issue, people miss their connecting flight.
And its not delay of just 1 or 2 hours, the delay lasts for 3 hours and more.
"
608,"enjoyed the flight. In time, good on board service higher baggage . there is no reason why one should not prefer this flight
"
609,"This is the worst airlines I have ever traveled, I will summarize my review with following points:
1) My TV screen didn't work for 16 hours not only mine but for the entire 4 rows. I couldn't even change my seat.
2) service people on board are very rude and didn't respond to any of our requests.
"
610,"Flying with airindia is not a very good experience but the only direct connectivity from tirupati to delhi with one stop, flight was delayed by an hour, they served two snacks one between TIR and DEL and another from HYD
"
611,"I have traveled through Air India domestically in India and had a good opinion about it. However, this journey was unsatisfactory to say the least. The cabin comfort was pretty usual- I did not find anything amazing about the dreamliner. The service and choice of food not up to the mark. The attendant looked untrained and rude. She dropped the...
"
612,"Being Government employee in past, I traveled by Air India flights several times including couple of long distance flights to Paris, etc. in past and enjoyed really good flights during 1990s. Recently I traveled by Air India for a short distance flight from Abu Dhabi to Mumbai and got saddened seeing an excellent Airline of one time in poor shape...
"
613,"This flight was on time from Kolkata @ 18:10 PM and arrived Agartala on time. Baggage collection timing was about 25-30 min. This flight allow baggage@25 kg per passenger. At present, Air India don't serve non vegetarian meals.
"
614,"It was a family trip to Andaman, the ticket was expensive, it was with break fast which was average. The customer service is good. The leg room was fine, the service and hospitality is good. Seats were exchangeable without any charge. Will prefer but not all time.
"
615,"Air India is the flag carrier airline of India. It is owned by Air India Limited, a government-owned enterprise, and operates a fleet of Airbus and Boeing aircraft serving 90 domestic and international destinations.In economy, within India, 25kg free. To other destinations, 20kg free, additional allowance depending on route
"
616,"The aircraft Boeing 787-8 Dreamliner is comfortable although it is the old model.
The cleanliness of the cabin is average,acceptable.
The food is average not good but not bad,the bread should be warmed instead of cold and stiff bread.
The performance of the cabin crew is not so good. They are serious and have cold manner,not so polite or humble....
"
617,"The flight was delayed for 1 hour and not an announcement was made! I got concerned as I have another flight to catch once reaching New Delhi (reason why I chose that flight time but still of no use). Hence, I just made it in time for boarding to my next flight and the experience of rushing to get my...
"
618,"Had a trip through Air India but felt the poor customer service. No smile from the staff, Dirty seats with dirty seat covers. Food is not good. But i really appreciate that they did not charged even for my baggage as it was over weight..
"
619,"Air India flight from Colombo at 08 30 is a very convenient time for travel, as it arrived in Delhi a few minutes ahead of schedule. Flight was smooth, friendly staff, Refreshments good. Collecting the baggage was very slow, as some bags arrived nearly one hour after we landed.
"
620,"This is briefly my experience on a recent flight from Mumbai to Newark.
Inspite of blocking an aisle seat in the middle, on arriving at the airport and boarding the aircraft, I was shocked to see that the Boarding card mentioned my seat as 52 C, the last seat on the last row of the aircraft with very poor leg...
"
621,"First let me call out that as an Indian, I want to give more stars to Air India. Not just out of a patriotic bias, but because I know that being a national carrier it is roped in to service by the government for many important and critical national level matters that could distract attention from working on customer experience...
"
622,"Worst Air Line service Ever had, Problem with started, can't do manage my booking, seat reservation, online check in, even at the airport there were long lane and long waiting for check in. Return had the same problem, can't go manage my booking. can't see your seat reservation etc. Service at the plane was horrible.
Never again although i was...
"
623,"Just when I was thinking these guys have improved they showed that they are incorrigible..
Stewards and Air hostesses need some serious training in being polite and courteous apart from learning to smile.
I had asked for water 3 times before it was served.
They even forgot to give snacks to some of the passengers, how disgusting...
Food was terrible.....
"
624,"25 kg. baggage allowance in domestic sector which is best offer for international to domestic traveler.
Meal are complementary. :-)
"
625,"I've flown with Air India from Australia to London now 3 times and I have to admit it is definitely a good cost worthy option. The main selling point for me is the price compared to other airlines, but your travel experience depends on your service and the passengers you travel with like any budget airline. I have only had...
"
626,"Travelled in August 2016 from Mumbai to Rajkot but the plane had to return back to Mumbai due to monsoon rain. We were promised on the plane that hotel accommodation will be reserved and all passengers will be able to fly again the following day. Upon arrival at Mumbai, there was no one to help us. Nobody knew what they...
"
627,"We choose an Air India flight to have a short journey time back to New Delhi after our trip around Rajasthan. Air India air craft was certainly very tired looking but got us from Udaipur safe and sound.
"
628,"The cabin crew was unfriendly (especially the male stewardesses) and impolite. The food was not really good. I felt like the employees don't really care about the passengers. I did not feel comfortable at all.
"
629,"Excellent everything, the aircraft, crew, quality of food, aminities, comfort and value for money. The cabin crew is most experienced of knowledge and skill. We'll understand your needs. Polite in addressing and while in service. The aircraft seating comfort. Is amazing while seating and sleeping on a flat bed as well. The food quality and quantity is excellent and sufficient...
"
630,"They have the best leg space, with inflight entertainment and food, you can surely kill your time even with multiple stop flights within india.
"
631,"We were on Birmingham Amritsar flight. It was my first time on 787. Huge plane. Nicely maintained. Food served was ok. In-flight entertainment was damn good. Service was good as well. Loved. Landing and take off were smooth too.
"
632,"Aircrew was so nice , good service with nice hospital
Seat bit old , but it was ok for me
sea width and have long legroom
Breakfast was nice, Beverage so excellence.
The price was so reasonable.
"
633,"I remember, one of the Heads of the Organization commented when being told that the Crew is ""Old""; 'so what's the problem?'... the problem is agility, callousness, do whatever you want I will not change attitude, I have seen many such passengers attitude, I don't care, reckless behavior...
The best of time slots, access to most of the airports across...
"
634,"I had traveled after a gap of few years, but sorry to state about fall in quality of service, which is not at par with the service extended earlier. The promptness in attending to passengers call was not fast enough. The toilet were not clean. Despite these pitfalls still, I would love to travel by our National Carrier. Need for...
"
635,"The lounge belonged to Virgin. Small, but good. Boarding was quick. Seats are configured 2-3-2. The airplane itself seemed a bit dated. They give you pajamas for the flight. The amenity kit is so-so. The onboard entertainment leaves much to be desired. A few new movies, but mostly poor. Seats recline well, but not to a full 180, almost flat....
"
636,"Good flight, ATR 72, comfi seats, in time departure and arrival, comfortable temperature-lighting-ambience, clean, good snack of croissant and a small water bottle, good service. At par with other private airlines. Recommended.
"
637,"I was having doubts about the punctuality of the Air India flights while booking my flight from Delhi -Kochi-Delhi as I have not been flying by this airline for quite some years. But to my surprise the round trip flight was very much on time ( on 25th August.17 and 29th August 17) The food was good and I enjoyed...
"
638,"Air India provides good services, I prefer for two reasons, safety and pilot efficiency. I found that they land the aircraft better than some other airlines
"
639,"The 8 hrs non stop flight was very comfortable. There were a plethora of options to choose from the entertainment portal. Food was served twice. The seats were very comfortable and the service was good. No complaints whatsoever.The connection from Brussels to Paris via train and flight cost a lot cheaper. I would not hesitate to take and recommend long...
"
640,"Flew with Air India, a decent flying experience on Dreamliner, enough leg room for me (186 cm tall) fairly average meal service and in flight entertainment, though the check-in and boarding experience along with cleanliness and hygiene of the plane could be improved.
"
641,"I had confirm tickets to London from Delhi and after waiting in a Q of 5 people for 45 min I was told that the flight was overbooked and they can't fly me to London, then they wasted about two hours of mine only to send to a disgusting Centaur hotel confirming me to fly back with next flight to...
"
642,"This might not hold for all Air India Flights, but their Dreamliner service from Madrid to New Delhi was quite excellent.
The staff were friendly at check in. The check in was smooth and easy.
The cabin crew was helpful and took care of us really well.
The plane was clean. Decent legroom. Decent seats. The entertainment system was also...
"
643,"Check in was smooth on both legs of the journey. Food served was good too. Have flown two other airlines on the same sector but Air India proved to be the best among all.
"
644,"Amazing experience. Very helpful staff. Inflight experience was good. Offers tasty food along with hot drinks. Thankful to staff for support otherwise would have missed flight. Although flight got delayed but covered delay. Almost reached on time.
"
645,"Recently I did fly from Bhopal to Lucknow for official trip. Air India service is very good and ontime performance.
"
646,"This flight is never on time (as was told by co passengers) and that day it got delayed by 4 hours. we were served an on board meal. since i was starving badly so i asked for more, if possible. the crew helped me with another serving.
"
647,"I traveled a lot in Air India Airlines even International too , but the service now a days is not good , food only Vegetarian . In some airlines Entertainment is good , but some aircrafts are very old , but their loyalty program is good.
"
648,"We booked onto an Air India flight from Bangkok to Birmingham. Less than 24 hours before we were due to fly we were told that Air India had changed the departure time of the flight from Bangkok, meaning we would miss our connection in New Delhi.
When we phoned Air India they wouldn't offer us any alternative flight on that...
"
649,"2 Pursers & a Lady Air Hostess - Very helpful and courteous Announcements were not to the mark - not audible, perhaps problem with the sound system tho the announcer's voice was pleasant without the sound system
"
650,"The aircraft was clean, which was quite unexpected!
Their services are dying, no maintenance at all - if seatbelts are loose (won't clamp tight), they won't ever be fixed. Many interactive displays won't work at all, some won't have clear sound.
Not all members of staff were friendly, some were very professional, and some would be ignorant and rude. They...
"
651,"Flew Air India to Goa from Pune and back again. Flight was ok. seats are a bit cramped. Plane was cleaned up in a hurry. some seats had head covers and some didnt. on both the flights we were served the same cheese sandwich. maybe they could use a little imagination and offer a bit of a variety.
"
652,"We flew from Mumbai to London. Surprisingly, the flight was on time. No problems at all.
We flew from London to Mumbai. Surprise, Surprise! Delayed thrice, 2 hours each. No notice. No response. No courtesy info provided as to why the flight was delayed.
Every passenger did receive a complimentary food voucher worth 7.5 pounds.
I was always told by...
"
653,"The planes were decent enough, although there was as surprising amount of duct tape dotted around for a newish aircraft (think it was a Dreamliner). The seats were pretty much as you'd expect for economy class, although they felt a little cramped, even for someone who's not particularly tall.
Food was copious but mediocre, and annoyingly it kept being brought...
"
654,"Has a very wide coverage and well experienced staff both on ground and in air.
food is not too bad. The service is good and the staff is helpful and warm.
"
655,"Old Plane.
The seats could really use a cleaning.
The airline employees were very friendly.
And they gave free food.
"
656,"With a price around half of the competition I had very low expectations but I was
positively impressed with the airplane (787), space between chairs was good!
Good Entertainment on screen, food ok. crew polite and efficient.
As usual air India was late to departure in both directions.
"
657,"Typical of the North East,the flights are limited and aerodromes have just basic facilities.the flt offered wonderful breakfast,a friendly cabin crew and fairly punctual services.I enjoyed
"
658,"I was delayed in the traffic and reached the airport after the counter had closed. Since the aircraft had not taken off, he agreed to take me on ( I had pre booked a seat ). A ground official helped me through to the gate. The captain was at the gate and smiled a welcome. Being a senior citizen and...
"
659,"> Modern plane, good seat distances, good price, kind service.
> You can choose from many different meals, so you should find something that fits your diet. Order when you book the flight.
> Air India has a good functional app for our phone.
"
660,"I had traveled 2 times and both by Air India....it was a good experience!!!
The hostesses never deny you things...everything is provided happily...
"
661,"Our flight delayed by 1 hour as incoming flight got delayed. Otherwise, travel was fine. They have served food also. Food quality was OK
"
662,"I am sivakumar Jeganathan from Chennai. I flew to Dubai on 8 Aug'17 from Chennai.
Comfy seat in economy class. Awesome food served. Spacious seat & leg room.
Departed from Chennai late by 15 minutes but arrived Dubai on time.
Service by the air craft crew is horrible. I have asked for a whisky one more glass. But a guy...
"
663,"I was happy that the flight reach before time at the destination due to on time start from the source. As the flight to Bhubaneswar was with 1 stop at Kolkata ta both the stops, the flight reach before time and due to excellent time management by the ground staffs, departed quickly, saving time for the flyers..
Hospitality was also...
"
664,"I booked this journey months before to attend a social function.we booked in Economy class .air india food is so so and plan condision was not good from inside. seat cannot moov.
"
665,"Smooth flight through out the journey i.e. starting from takeoff to landing. foods served were excellent. However, i have pre-specified non-veg meal but they served me veg meal. but anyway veg meal was also excellent.
"
666,"nice hospitality ...helpful and courteous flight attendents...only thing is to be little more presentable..its just a suggestion
"
667,"Nice flight but price are over budget.. staff is courteous ..
I dont like the quality of food they serve..
"
668,"It was a nightmare and we thank God that we took off and landed safely in Delhi. The flight was one of the oldest (ex Indian Airlines fleet) delivered in Dec 1994 A/C reg. VT-ESL. It was late night flight and arrived late from Delhi with multiple technical issues including cabin light issue. The seniors of CSIF security was summoned...
"
669,"I took AI 020 from Delhi to Kolkata and the connecting flight to Dhaka (AI 230). The flights were on time, which was a relief. The online reservation system had asked for meal preference but as it turned out only vegetarian is served on domestic flights. The Kolkata-Dhaka flight was too short for a meal service and packets were doled...
"
670,"Till the last minute the screens all over Mumbai Airport showed its on time.
No announcements were made till the last minute that there is agate change.
We got in the bus - only to wait for the earlier bus passengers to get off so that we could get in the aircraft - 7 - 10 mins in the bus....
"
671,"Very uncomfortable seat. 2-3-2 seating doesn't provide the space of other carriers. More limited overhead storage because of the 3 in center. Amenities provided lower quality than other carriers. Service and food average.
Economy loaded through business class which was disruptive and unexpected.
Only took the flight because of a co-worker and will not take again. Long uncomfortable flight.
"
672,"Good flight. On time. Served vegetarian food. Service was average. I think bcz airhosetess were old ,dey couldnt hear our service call.😁 Otherwise. Shortest duration for flight. Halt at london. And one more thing, dey should give more variety of onflight entertainment.
"
673,"Air india airline have a feel of love. The airline have beautiful aircrafts that have spacious sitting, better leg space , great hospitality, amazing food and world wide connectivity.
"
674,"I had read numerous negative reviews of Air India's (AI) service which made me leery of selecting them, but the non-stop service from US East Coast and the time of day made Air India attractive. So I booked my itinerary with some qualms.
I'm glad I chose AI, but I'm also glad I had adjusted my expectations prior to boarding....
"
675,"I booked this journey months before to attend a social function. Despite having had worst of experiences with AI (1) undue delay and lack of response from ground staff not once, but twice flying Hyderabad-Muscat (2)aghast to know that an already delayed flight from Hyderabad-Dubai, with a connecting flight to US destination; that due to fuel shortage the flight diverted...
"
676,"We have travelled in Air India recently introduced flight from Chennai to Washington DC via Delhi. Earlier we booked in Economy class which was later upgraded to Business Class at the time of Boarding.
The staff at the counter was courteous and quickly upgraded
Our tickets. The lounge at Chennai was good and the time of the flight suits our...
"
677,"The flight had just average of everything. It does not offer any thing exceptional but is not bad. Its on time and comfortable with decent legroom but the crew looked exhausted. The pilot was pretty good he flew very nicely had a smooth landing and gave an exceptionally good patriotic speech during the flight.
"
678,"It was a pleasant surprise to find the 4 sectors of Amritsar- Delhi- Mumbai and return by Air India very professionally d after a long timeone with by Air India. Right from booking to liberal baggage allowance to food to baggage delivery. I am Gold member of Jet previlege. But Air India Maharaja has certainly beaten them
"
679,"We have always preferred to travel by Air India. But, off late, the comfort zone for travel is diminishing. We had problems with check in itself with the boarding pass showing some print of security threat. We had to undergo a series of security clearance and finally lucky to continue with our journey. Such issue has never happened with Sir...
"
680,"As usual the flight was delayed by more than half-an-hour. This was conveyed to me when I was checking-in at the Delhi airport. The crew was courteous and the food was just eatable. Flight was smooth and de-planeing was quite fast although the baggage collection took some time. If time is important to u, please avoid AI.
"
681,"The positive to this airline ticket compared to other economy or other low cost tickets is the advantage of extra weight of Check-In bag compared to other low frill airlines
"
682,"Worst airline I have ever flown. Airline changed departure times from AM to PM 1 month before departue, & increased fare by 100%. At airport there was an additional 3 hr departure delay. 15 kg checked luggage limit ( I was flying from Europe on Quantas w/ 30 kg limit so had to buy extra carry-on bag and put the...
"
683,"Severely delayed departure (12+ hours), with no communication given to passengers or any type of support. Unless they were in first or business, which were even escorted out of the plane. The rest? Treated like scum, knowing that they would not be able to claim EU compensation as the airline and flight was departing from outside EU. Having experienced Air...
"
684,"Based out of Germany, I have been travelling with Air India for the past 4 years. Generally I didn't have any complaints. But last year when I had to cancel my tickets and book a new one due to change of dates, I was shocked to realize that the tickets had been made non-refundable without my knowledge. While booking the...
"
685,"Poor service. No one to listen during a 15 hour long flight, except during serving meals. Restrooms were clean. Staff was not courteous.
"
686,"The airline is quite behind all the other major airlines in India (not to name any). Services need updating, on flight menu is abysmal. Check in was tiresome with long queues. The flight attendents could be more hospitable.
"
687,"In-flight:
We cant compare this with private airlines. Its like government transport bus. Cabin cleanliness is average. Crews are mostly male (Air stewards). They are not that much helpful. Just performing their duties.
Only advantage is, you will get food. Otherwise, we can say they are charging for food also. So tickets are expensive.
Check-in counter:
Not co operative at...
"
688,"Good Flight ample siting space, not required extra leg space unless you are more than 6 ft, staff ok and food ok for vegetarians not very good quality but ok
"
689,"Traveled from Delhi To kolkata, Very new technology plane with latest all facilities. Very big in size. Food is also very good. If you have plan then travel with is once.
"
690,"Overall everything seemed to be fine. The flight quality and check in experience. The onboard meal provided are very poor in variety and quantity. Quality of meal is fine. The main issue with this airline is punctuality the flight was delayed by over 3 hours which made me miss my meetings for which I was travelling.
"
691,"I usually fly Air Singapore on this route and having read the generally poor reviews of this airline i wasnt exactly brimming with excitement for a 17hr flight however the flight was surprisingly good.Especially the planes, with my two flights on very new Boeing 787's.
Check in at Singapore was a bit poor with only 3 counter staff but aside...
"
692,"This is one of the most spectacular air journeys in the world, starting from Delhi and traversing some of the highest peaks in the Himalayas. Departure was slightly delayed but arrival was almost on schedule. Comfortable flight.
"
693,"I must say I wasn't too pleased with the flight. I didn't think the staff we're as polite as have experienced on other flights, the food was very poor, my kids refused to eat & most importantly the toilets were disgusting. Sink jammed full off Vomit. Not the best of flights by far :(
"
694,"Flight was late by four hours both way. In board facility was good. Check in facility at both airports was fairly good.
"
695,"Flight was on time and return flight involved special checking and frisking at kathmandu just prior boarding. Be careful of carrying any banned substances should be strictly adhered to avoid disappointments. Nonetheless flight was pleasant.
"
696,"I recently flew home with my 2 year olds and chose Air India to give them a chance. To my pleasant surprise the plane, crew, and food were all five star level service. The in flight entertainment (IFE) wasn't the greatest but okay. The flight was delayed 40 minutes but arrived on time in Newark. The crew and even the...
"
697,"Surprised with the overall journey on both onward and return journey. There was no delay in departure.Good experience.
"
698,"The flights with Air India from Frankfurt over Delhi to Sydney were alright. Both flights departed on time and were cheap compared to other possible routes. The in flight service was unfortunately not very friendly an their choice of food and drinks as well as the in flight entertainment does not reach the standards of other airlines.
"
699,"I had this morning direct flight from Mumbai to Lucknow and the flight experience was amazing . The flight was on time . The food served was great . Arrival was on time . And to my surprise my fragile luggage was handled very carefully which I could see being handled delicately when I deboarded the flight . The flight...
"
700,"For an internal flight of just under an hour, it was surprisingly good. Fairly modern and clean aircraft with very slick friendly service.
I would have no hesitation using this airline again.
"
701,"While booking Air India flight from Bangalore to JFK the website indicated a stop over in Mumbai. But the flight had a stop over at Delhi too. Had to go through security in Bangalore, Mumbai and Delhi.
Service good on flight. Hosts were friendly and accommodating. There is a lot of room for improvement with the food serviced inflight. Hosts...
"
702,"One of the best experience I ever had with any airlines in India. Ground staffs were so well trained. In flight food quality was excellent.
"
703,"I had booked early evening flight about 3 or 4 months before our trip to India. Whilst checking on some details online I noticed a problem with our flights and got in touch to discover our connecting flight from Trivandrum to Delhi had been cancelled. A very abrupt woman explained the only option I had was to take an earlier...
"
704,"It was a good trip. The service was excellent. The check in was quick and easy. The food was accettable.
"
705,"Excellent comfort, spacious seats, plenty of leg room even in middle seats. You name it, they have it all. Add courteous staff and fine food, we have an amazing flight.
The only issue we may have had was with the staff at the counter in Dubai Airport Terminal 1. Only one queue was open and it was winding up and...
"
706,"1.The entertainment system did not work - imagine sitting in a 14 hour flight twiddling your thumbs
2. We had requested Jain Vegetarian meals at the time of booking the flight which was two months prior - food request was not catered to.
"
707,"Overall an average experience!!!
The airline should seriously work on the cleanliness part.I travelled in the business class and the seats were really comfortable.The food was bland.
The ground staff depicts the present state of the government owned airline.They were so lethargic and inefficient in the boarding process.
"
708,"The flights were on time and this was all fine. But big problem for us was in the set of seats we were in had no in flight entertainment at all as the screens did not work. It is a long way to travel especially as we were expecting films and games etc.. Also despite filling in info on quite...
"
709,"Very BAD experience
First they Offer me that you have Upgraded to Business class as I have a FF number
When I was on seat,there was Delay in Flight only becoz someone special is about to come,30 minutes delay
Than Lots of members came to me and ask me to go return back to my seat and said that your...
"
710,"Air india flight from New Delhi to Kolkata was scheduled at 14:25 hrs, but delayed for no reason for 3hrs after thrice changing Gate no.Food provided was also not good and small quantity. No foot rest
"
711,"I WAS looking forward to my first flight on a Dreamliner.aircraft.
Shabby dirty and looking more like a plane that had seen 20+ years service
The 12 hour flight back home was even worse.2 hour delay and after we boarded were advised NO overhead lights, NO entertainment system NO attendant call button..Food very mediocre. I will NEVER fly this airline...
"
712,"Check in for Air India in the Metro before leaving Delhi was a fantastic option. We were relieved of our luggage for the trip to the airport, skipped checking queues and our luggage was the first off the plane at our destination. On a very full flight, the staff coped reasonably well keeping everyone calm, well fed and entertained. Food...
"
713,"with the airlines allowing 25kg checked in bagagges aircrafts like dreamliner in their fleet has anyone wondered why rhis is a failed story? highly paid staff all lazy lacking lusture. once the aircraft lands the ground staff take ages to put your checked in baggage in the conveyor belt.no doubt the govt is planning a privatisation drive. better late than...
"
714,"Overall a good experience, value for money modern aircraft, good leg room and onboard entertainment. Better than average food, and generous with drink and refreshments by friendly courteous staff. Would have no hesitation in using in future.
"
715,"good service
I asked the desk to have a seat in emergency exit to hav enough space, they were kind and offer it to me.
Many meals, may be too much, but with a lot of spice. so may be you will be tired of it, get some food and chocolate with you.
They ahvea very nice invention for baby,...
"
716,"This airline is flag carrier airline of India, a government-owned enterprise. The aircraft used for long duration international destinations are in good condition. For Mumbai to Heathrow sector dreamliner aircraft is operated . The flight was comfortable and smooth.
We got a very good deal , considering our travel was during Christmas. The flight attendants were a little dull in...
"
717,"I used many of the top airlines to fly regular to New York, with varied results. However a friend recommended I try air India. The check in for business class was very easy no wait and straight through. The lounge was the Lufthansa lounge which had the standard fare. My flight although through a third party cost £1400 £2000 less...
"
718,"We started off with an hour delay taking off after we had boarded the plane..so that was boring...45 mins in they decide to quench our thirst by bring out water...weve still not taken off though...still waiting for ATC to allow us to taxi out...when we finally got underway the pots and pans in the galley were rattling like they were...
"
719,"Happen to fly by Air India from Mumbai to Delhi during my trip to Amritsar.
Fliight was on time and food was very good. Kids also enjoyed. Ground staff and other arrangements were very good and organised. The best part it has Terminal-2 which is amazing!!!! Keep it up Air India:)
"
720,"What makes Air India so fantastic is the additional baggage allowance - check re specifics but I thin my allowance was 2 x 20 kg for check in.
"
721,"I turned up early at Kathmandu airport to find there was no Air India flight to Delhi. They just decided not to do one that day. I was upgraded to an Air Nepal business class flight to Delhi though which was nice so I'd arrive in Delhi in time for my connection. However they didn't seem to know what was...
"
722,"I have been fortunate to have two uses airline twice now and Looking And I can reassure you there will not be a third the time. On the odd occasion, you might get one good air hostess. But most of the time it was a very bad experience that I had happening with these, The food quality wasn't the best...
"
723,"Air India did not respond to my query as per my previous disgusting service they gave me in India.
Kind regards
"
724,"Travelled Air India after several years due to adverse publicity of this airline.I was pleasantly surprised to see that it scores much better than many of the over hyped air lines.
The staff is well trained, courteous, helpful.cabin announcements are clear and precise, leg space is unusually good and refreshments and even replenishments were prompt.
needless to say the flight...
"
725,"Long time, I was avoiding to fly with Air India due to my preconceived notion of Indian Flag Carrier flight mainly due to mouth publicity and off late Air India is in the news for wrong reasons.
This trip was with the family, with my 6 and 5 years old.
What do I like about it?
- Ground staff was...
"
726,"Always prefer air india as the last option since the time duration is always not to the mark. Also the service offered in flight is always worst and the screw has horrible attitude problem.
"
727,"Distressed from a cancelled Cathay pacific flight, we were thrilled to be told by CP that they had managed to get us on an AI flight to Delhi. Imagine our surprise when the supervisor of the air India checkin counter was so aggressive, obnoxious and rude to passengers. He told one man - who do you think you are visiting...
"
728,"I got great prices, baggage allowance, on time flights, great experience in general. As is usual nowadays the food was so-so but I had heard how historically they've been an awful airline to use that we were very pleasantly surprised
"
